,Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),roundedV,dV,Charge_dQ,dQ/dV,G_Smoothed_dQ/dV
0,5,150.03065875569462,2010-09-27 14:14:48,30.01533185605608,2,1,0.5500248074531555,3.5848209857940674,0.004584979789565,0.0,0.016314317149779,0.0,0.0012635707389563,0.0,0,0,0,3.585,0.13299512863159135,0.0,0.0,0.11731447925381405
1,6,180.04586401574758,2010-09-27 14:15:18,60.03053712112157,2,1,0.5498448610305786,3.625318765640259,0.009169998079784,0.0,0.032847511186491,0.0,0.0009719372028484,0.0,0,0,0,3.625,0.040497779846191406,0.004585018290219,0.11321653452689692,0.12915228078583255
2,7,210.0612876057858,2010-09-27 14:15:48,90.0459607211848,2,1,0.5498448610305786,3.658041000366211,0.013755075704281,0.0,0.049547364129871,0.0,0.0007775306585244,0.0,0,0,0,3.658,0.03272223472595215,0.004585077624497001,0.1401211641838311,0.15367463275826598
3,8,240.07644681589105,2010-09-27 14:16:18,120.06111994131504,2,1,0.5498448610305786,3.685741662979126,0.018340038573229,0.0,0.066384217846757,0.0,0.0006803512806072,0.0,0,0,0,3.686,0.02770066261291504,0.004584962868947998,0.16551816586547374,0.1936899675505566
4,9,270.09175956425133,2010-09-27 14:16:48,150.0764326997004,2,1,0.5498448610305786,3.709716320037842,0.022925107430064,0.0,0.083339495327721,0.0,0.0005831718444824,0.0,0,0,0,3.71,0.02397465705871582,0.004585068856835,0.19124648355160226,0.25551015879204314
5,10,300.1070321674031,2010-09-27 14:17:18,180.0917052878146,2,1,0.5502047538757324,3.731099367141724,0.027510149002756,0.0,0.100398558872846,0.0,0.0005507945897988,0.0,0,0,0,3.731,0.02138304710388228,0.004585041572692003,0.2144241440622159,0.3496675487580996
6,11,330.1224517073316,2010-09-27 14:17:48,210.10712484779316,2,1,0.5500248074531555,3.749890327453613,0.032095231834849,0.0,0.117550006326828,0.0,0.00042119025602,0.0,0,0,0,3.75,0.01879096031188876,0.004585082832092996,0.24400471056245499,0.4892838783806411
7,12,360.13762551888425,2010-09-27 14:18:18,240.12229863428328,2,1,0.5498448610305786,3.766737461090088,0.036680285720779,0.0,0.134783553072217,0.0,0.0003887653292622,0.0,0,0,0,3.767,0.016847133636475053,0.004585053885930002,0.27215631957730096,0.6857312481981814
8,13,390.1529463825015,2010-09-27 14:18:48,270.1376194878755,2,1,0.5498448610305786,3.7798588275909424,0.041265398712869,0.0,0.152086350868406,0.0,0.000324010848999,0.0,0,0,0,3.78,0.013121366500854492,0.004585112992090003,0.34943868017034735,0.9422071562686198
9,14,420.1682072714127,2010-09-27 14:19:18,300.15288038681166,2,1,0.5498448610305786,3.7871484756469727,0.045850455391078,0.0,0.169435961007681,0.0,0.0001296043337788,0.0,0,0,0,3.787,0.0072896480560302734,0.004585056678209,0.6289818991214626,1.2480371264764831
10,15,450.18353967884514,2010-09-27 14:19:48,330.16821279424414,2,1,0.5498448610305786,3.7905502319335938,0.05043553839414,0.0,0.186809235932908,0.0,6.480216688942164e-05,0.0,0,0,0,3.791,0.0034017562866210938,0.004585083003061999,1.3478575820069354,1.5773699840909536
11,16,480.198806908584,2010-09-27 14:20:18,360.1834800490455,2,1,0.5500248074531555,3.792332172393799,0.0550205659439,0.0,0.204193388428697,0.0,0.0,0.0,0,0,0,3.792,0.0017819404602050781,0.00458502754976,2.5730531699315717,1.8942923311896354
12,17,510.214094669572,2010-09-27 14:20:48,390.198767805021,2,1,0.5496649146080017,3.793627977371216,0.059605707642619,0.0,0.221585351385436,0.0,0.0,0.0,0,0,0,3.794,0.0012958049774169922,0.004585141698719,3.5384504448029253,2.1631341566489524
13,18,540.2294012926426,2010-09-27 14:21:18,420.2140744280917,2,1,0.5498448610305786,3.795409917831421,0.064190735571119,0.0,0.23898359871332,0.0,6.480216688942164e-05,0.0,0,0,0,3.795,0.0017819404602050781,0.004585027928499998,2.573053382475148,2.3594015200631584
14,19,570.2446581565066,2010-09-27 14:21:48,450.2293312719056,2,1,0.5500248074531555,3.797029972076416,0.06877559806349,0.0,0.256388680603855,0.0,3.24249267578125e-05,0.0,0,0,0,3.797,0.0016200542449951172,0.004584862492371,2.8300672687566824,2.476010294308659
15,20,600.2599217120742,2010-09-27 14:22:18,480.2445948374982,2,1,0.5496649146080017,3.798649787902832,0.0733605374494,0.0,0.273802000811554,0.0,-3.237724376958795e-05,0.0,0,0,0,3.799,0.0016198158264160156,0.0045849393859100085,2.8305312932116413,2.5225010457238755
16,21,630.27527014952,2010-09-27 14:22:48,510.259943274944,2,1,0.5500248074531555,3.800755739212036,0.077945641521159,0.0,0.291224220888373,0.0,9.722709364723414e-05,0.0,0,0,0,3.801,0.0021059513092041016,0.004585104071758994,2.1772127644735693,2.5186465008634604
17,22,660.290695117999,2010-09-27 14:23:18,540.275368243423,2,1,0.5496649146080017,3.802375555038452,0.082530810600084,0.0,0.308655357010294,0.0,0.0,0.0,0,0,0,3.802,0.0016198158264160156,0.0045851690789250055,2.8306730951444607,2.486375693252139
18,23,690.3062048480559,2010-09-27 14:23:48,570.2908779634549,2,1,0.5500248074531555,3.804481506347656,0.087116003187112,0.0,0.326095401247648,0.0,3.24249267578125e-05,0.0,0,0,0,3.804,0.0021059513092036575,0.0045851925870279975,2.177254795488049,2.4434620181889186
