,cycle,peak_number,peak_left_border(V),peak (V),peak_right_border(V),capacity_under_peak,prominance
0,1.0,0.0,4.040989398956299,4.102707862854004,4.174308300018311,0.12839836614550998,0.25986790259774883
1,3.0,0.0,4.055892467498779,4.157299041748047,4.168476581573486,0.08712982815964898,0.2037073405229185
2,4.0,0.0,4.072739601135254,4.161348819732666,4.16718053817749,0.06878458575546897,0.19112139821875973
3,6.0,0.0,4.078571319580078,4.168314456939697,4.168314456939697,0.059616309272599866,0.18663737744214393
4,7.0,0.0,4.08942461013794,4.168152809143066,4.168152809143066,0.05044255867424985,0.18540142786190728
5,8.0,0.0,4.089910507202148,4.162482738494873,4.162482738494873,0.04585925521360501,0.15236193014281996
6,9.0,0.0,4.082458972930908,4.167018890380859,4.167018890380859,0.05044408321646365,0.2036833630953644
7,10.0,0.0,4.095094203948975,4.170582294464111,4.163940906524658,0.04127341309363963,0.14582214237177948
8,12.0,0.0,4.0610761642456055,4.162321090698242,4.168476581573486,0.07337414824595268,0.20373770289294957
9,15.0,0.0,4.097686290740967,4.16361665725708,4.16361665725708,0.04127293970446022,0.15099996360088608
10,17.0,0.0,4.099630355834961,4.168314456939697,4.161673069000244,0.036685128328667105,0.13369982829054816
11,18.0,0.0,4.100278377532959,4.165722846984863,4.165722846984863,0.04127261490534817,0.14803610299483028
12,19.0,0.0,4.098658084869385,4.16361665725708,4.16361665725708,0.0412704917414386,0.14328425260595445
13,20.0,0.0,4.099954128265381,4.168476581573486,4.161673069000244,0.03668719018869737,0.13508924561550084
14,21.0,0.0,4.100925922393799,4.1688008308410645,4.1688008308410645,0.036685475696843994,0.11548912790705246
15,22.0,0.0,4.105623722076416,4.166208744049072,4.166208744049072,0.03210135543691983,0.09712768352970014
16,23.0,0.0,4.101898193359375,4.1741461753845215,4.166208744049072,0.032100949776277865,0.09511017957734547
17,24.0,0.0,4.108053684234619,4.168476581573486,4.168476581573486,0.03210090319351622,0.10695103665754191
18,25.0,0.0,4.106109619140625,4.173822402954102,4.166370868682861,0.03210060618458588,0.09682555866094722
19,27.0,0.0,4.102707862854004,4.170258522033691,4.170258522033691,0.036685325076146746,0.11707230272269231
20,28.0,0.0,4.09655237197876,4.171068668365479,4.163940906524658,0.03668715358475794,0.13585797214901202
21,29.0,0.0,4.112427711486816,4.169772624969482,4.169772624969482,0.032100262826840975,0.10907401269753275
22,30.0,0.0,4.106271743774414,4.169934749603272,4.169934749603272,0.03668605573739914,0.11367568475844636
23,32.0,0.0,4.107081890106201,4.168152809143066,4.161510944366455,0.03209675984638416,0.12588891962598692
24,33.0,0.0,4.103032112121582,4.166694641113281,4.166694641113281,0.03668375407648661,0.11602537495649234
25,35.0,0.0,4.117611408233643,4.174956321716309,4.167666435241699,0.027512374153792152,0.06332500058929047
26,36.0,0.0,4.121822834014893,4.171716213226318,4.164426803588867,0.02292632457555399,0.053867509255354995
27,37.0,0.0,4.112751483917236,4.1730122566223145,4.165560722351074,0.027515053876861373,0.07332056384670638
28,38.0,0.0,4.1172871589660645,4.177224159240723,4.169448375701904,0.027514466731949128,0.09227057829959434
29,39.0,0.0,4.106109619140625,4.169610500335693,4.169610500335693,0.032100160690557544,0.11043142068453926
30,40.0,0.0,4.135430335998535,4.177710056304932,4.162158966064453,0.013757330959968783,0.02373122073974987
31,42.0,0.0,4.107405662536621,4.180463790893555,4.16329288482666,0.022929504162251035,0.05822804291279432
32,43.0,0.0,4.110321521759033,4.174956321716309,4.166370868682861,0.022927099559245434,0.06964757745282457
33,44.0,0.0,4.110969543457031,4.175604343414307,4.157299041748047,0.018343152736969515,0.04480269285593025
34,45.0,0.0,4.1174492835998535,4.181273937225342,4.163455009460449,0.01834324391806952,0.04959352260414629
35,46.0,0.0,4.112913608551025,4.177062034606934,4.158919334411621,0.01834080610068156,0.04363057715872842
36,47.0,0.0,4.115991115570068,4.180302143096924,4.162321090698242,0.01834411251218171,0.04846371632036717
37,48.0,0.0,4.102384090423584,4.18192195892334,4.163778781890869,0.022929174713979705,0.056702570869042346
38,49.0,0.0,4.116315364837647,4.180140018463135,4.162321090698242,0.018343811429442525,0.04451470258999857
39,50.0,0.0,4.125225067138672,4.179977893829346,4.160862922668457,0.013757774319977045,0.031171622933974408
